"id_examen";"nombre_examen";"lk_grupo";"activo";"unidad";"minimo";"maximo";"es_pedido";"es_resultado";"lk_padre"
"124";"Chlamidia IgA";"4";"1";NULL;NULL;NULL;"1";"1";NULL
"125";"Hepatitis A";"4";"1";NULL;NULL;NULL;"1";"0";NULL
"126";"Hepatitis A IgG";"4";"1";NULL;NULL;NULL;"1";"1";NULL
"127";"Hepatitis A IgM";"4";"1";NULL;NULL;NULL;"1";"1";NULL
"128";"Hepatitis B";"4";"1";NULL;NULL;NULL;"1";"0";NULL
"129";"HBsAg";"4";"1";NULL;NULL;NULL;"1";"1";NULL
"130";"Anti HBs";"4";"1";NULL;NULL;NULL;"1";"1";NULL
"131";"HBc";"4";"1";NULL;NULL;NULL;"1";"0";NULL
"132";"HBc  IgG";"4";"1";NULL;NULL;NULL;"1";"1";NULL
"133";"HBc  IgM";"4";"1";NULL;NULL;NULL;"1";"1";NULL
"134";"HBeAg";"4";"1";NULL;NULL;NULL;"1";"1";NULL
"135";"Anti Hbe";"4";"1";NULL;NULL;NULL;"1";"1";NULL
"136";"Hepatitis C";"4";"1";NULL;NULL;NULL;"1";"1";NULL
"137";"Tuberculosis en suero";"4";"1";NULL;NULL;NULL;"1";"1";NULL
"138";"Elemental y Microscópico (EMO)";"5";"1";NULL;NULL;NULL;"1";"1";NULL
"139";"Gota Fresca";"5";"1";NULL;NULL;NULL;"1";"1";NULL
"140";"Gram";"5";"1";NULL;NULL;NULL;"1";"1";NULL
"141";"Microalbuminuria";"5";"1";"mg/L";"0";"30";"1";"1";NULL
"142";"Proteinuria 24 horas";"5";"1";"mg/24h";"0";"150";"1";"1";NULL
"143";"Depuración Creatinina";"5";"1";"mL/min";"90";"120";"1";"1";NULL
"144";"Sodio";"5";"1";"mmol/L";"135";"145";"1";"1";NULL
"145";"Potasio";"5";"1";"mmol/L";"3.5";"5.1";"1";"1";NULL
"146";"Cloro";"5";"1";"mmol/L";"98";"107";"1";"1";NULL
"147";"Ácido Urico";"5";"1";"mg/dL";"3.5";"7.2";"1";"1";NULL
"148";"Calcio";"5";"1";"mg/dL";"8.5";"10.5";"1";"1";NULL
"149";"Fósforo";"5";"1";"mg/dL";"2.5";"4.5";"1";"1";NULL
"150";"Magnesio";"5";"1";"mg/dL";"1.7";"2.2";"1";"1";NULL
"151";"Pirilinks";"5";"1";NULL;NULL;NULL;"1";"1";NULL
"152";"Pirilinks 2H";"5";"1";NULL;NULL;NULL;"1";"1";NULL
"153";"Pirilinks 24H";"5";"1";NULL;NULL;NULL;"1";"1";NULL
"154";"Prueba de Embarazo";"5";"1";NULL;NULL;NULL;"1";"1";NULL
"155";"Panel de drogas (Abuso)";"5";"1";NULL;NULL;NULL;"1";"1";NULL
"156";"Coproparasitario rutina";"6";"1";NULL;NULL;NULL;"1";"1";NULL
"157";"Coproparasitario seriado";"6";"1";NULL;NULL;NULL;"1";"1";NULL
"158";"Inv. Polimorfonucleares";"6";"1";NULL;NULL;NULL;"1";"1";NULL
"159";"Sangre Oculta";"6";"1";NULL;NULL;NULL;"1";"1";NULL
"160";"Rotavirus";"6";"1";NULL;NULL;NULL;"1";"1";NULL
"161";"pH";"6";"1";NULL;NULL;NULL;"1";"1";NULL
"162";"Concentración";"6";"1";NULL;NULL;NULL;"1";"1";NULL
"163";"Adenovirus";"6";"1";NULL;NULL;NULL;"1";"1";NULL
"164";"Sudan III";"6";"1";NULL;NULL;NULL;"1";"1";NULL
"165";"Coprológico";"6";"1";NULL;NULL;NULL;"1";"1";NULL
"166";"Giardia Antígeno";"6";"1";NULL;NULL;NULL;"1";"1";NULL
"167";"Cultivo y antibiograma";"7";"1";NULL;NULL;NULL;"1";"1";NULL
"168";"Gram";"7";"1";NULL;NULL;NULL;"1";"1";NULL
"169";"Fresco";"7";"1";NULL;NULL;NULL;"1";"1";NULL
"170";"BAAR   días(        )";"7";"1";NULL;NULL;NULL;"1";"1";NULL
"171";"Investigación de hongos ( KOH )";"7";"1";NULL;NULL;NULL;"1";"1";NULL
"172";"Control Tratamiento";"7";"1";NULL;NULL;NULL;"1";"1";NULL
"173";"Ac. Antinucleares";"8";"1";NULL;NULL;NULL;"1";"1";NULL
"174";"Ac. Anti DNA";"8";"1";NULL;NULL;NULL;"1";"1";NULL
"175";"Células LE";"8";"1";NULL;NULL;NULL;"1";"1";NULL
"176";"ANTI-RO";"8";"1";NULL;NULL;NULL;"1";"1";NULL
"177";"Anticitrulina  (Anti - CCP )";"8";"1";NULL;NULL;NULL;"1";"1";NULL
"178";"ANTI-LA";"8";"1";NULL;NULL;NULL;"1";"1";NULL
"179";"Ac. Antimicrosomales";"8";"1";NULL;NULL;NULL;"1";"1";NULL
"180";"Ac. Antitiroglobulinas";"8";"1";NULL;NULL;NULL;"1";"1";NULL
"181";"ANA-BLOT";"8";"1";NULL;NULL;NULL;"1";"1";NULL
"182";"ANTI Sm";"8";"1";NULL;NULL;NULL;"1";"1";NULL
"183";"HLA-B27";"8";"1";NULL;NULL;NULL;"1";"1";NULL
"184";"ANCAS";"8";"1";NULL;NULL;NULL;"1";"1";NULL
"185";"Antifosfolipidos";"8";"1";NULL;NULL;NULL;"1";"1";NULL
"186";"Antifosfolipidos IgG";"8";"1";NULL;NULL;NULL;"1";"1";NULL
"187";"Antifosfolipidos IgM";"8";"1";NULL;NULL;NULL;"1";"1";NULL
"188";"Anticardiolipinas";"8";"1";NULL;NULL;NULL;"1";"1";NULL
"189";"Anticardiolipinas IgG";"8";"1";NULL;NULL;NULL;"1";"1";NULL
"190";"Anticardiolipinas IgM";"8";"1";NULL;NULL;NULL;"1";"1";NULL
"191";"ANTI B2GP1";"8";"1";NULL;NULL;NULL;"1";"1";NULL
"192";"ANTI B2GP1 IgG";"8";"1";NULL;NULL;NULL;"1";"1";NULL
"193";"ANTI B2GP1 IgM";"8";"1";NULL;NULL;NULL;"1";"1";NULL
"194";"Anti Mitocondriales";"8";"1";NULL;NULL;NULL;"1";"1";NULL
"195";"CEA-Carcino Embrionario";"9";"1";"ng/mL";"0";"5";"1";"1";NULL
"196";"Calcitonina";"9";"1";"pg/mL";"0";"10";"1";"1";NULL
"197";"AFP - Alfa-Feto-Proteina";"9";"1";"ng/mL";"0";"10";"1";"1";NULL
"198";"HE-4";"9";"1";"pmol/L";"0";"140";"1";"1";NULL
"199";"PSA-Antígeno Prostático Específico";"9";"1";"ng/mL";"0";"4";"1";"1";NULL
"200";"PSA Libre";"9";"1";NULL;NULL;NULL;"1";"1";NULL
"201";"HCGB";"9";"1";"mUI/mL";"0";"5";"1";"1";NULL
"202";"Ca 125";"9";"1";"U/mL";"0";"35";"1";"1";NULL
"203";"Ca 15-3";"9";"1";"U/mL";"0";"30";"1";"1";NULL
"204";"Ca 19-9";"9";"1";"U/mL";"0";"37";"1";"1";NULL
"205";"Ca 72-4";"9";"1";"U/mL";"0";"6.9";"1";"1";NULL
"206";"Anti TPO";"9";"1";"UI/mL";"0";"34";"1";"1";NULL
"207";"Tiroglobulina";"9";"1";"ng/mL";"1.4";"78";"1";"1";NULL
"208";"Neuroenolasa Específica";"9";"1";"ng/mL";"0";"16.3";"1";"1";NULL
"209";"Lambda Cadena Ligera";"9";"1";NULL;NULL;NULL;"1";"1";NULL
"210";"Beta 2 Microglobulina";"9";"1";"mg/L";"0.8";"2.4";"1";"1";NULL
"211";"Kappa Cadena Ligera";"9";"1";NULL;NULL;NULL;"1";"1";NULL
"212";"Pap- Test";"10";"1";NULL;NULL;NULL;"1";"1";NULL
"213";"Estudio Histopatológico";"10";"1";NULL;NULL;NULL;"1";"1";NULL
"214";"Estudio Citológico";"10";"1";NULL;NULL;NULL;"1";"1";NULL
"215";"Muestra: ________________";"10";"1";NULL;NULL;NULL;"1";"1";NULL
"216";"INV. HPV Técnica";"10";"1";NULL;NULL;NULL;"1";"1";NULL
"217";"Captura Híbrida";"10";"1";NULL;NULL;NULL;"1";"1";NULL
"218";"PCR";"10";"1";NULL;NULL;NULL;"1";"1";NULL
"219";"Asto";"11";"1";"UI/mL";"0";"200";"1";"1";NULL
"220";"Látex";"11";"1";NULL;NULL;NULL;"1";"1";NULL
"221";"PCR";"11";"1";"mg/L";"0";"5";"1";"1";NULL
"222";"Waaler Rose";"11";"1";NULL;NULL;NULL;"1";"1";NULL
"223";"VDRL";"11";"1";NULL;NULL;NULL;"1";"1";NULL
"224";"RPR";"11";"1";NULL;NULL;NULL;"1";"1";NULL
"225";"HIV";"11";"1";NULL;NULL;NULL;"1";"1";NULL
"226";"FTA-ABS";"11";"1";NULL;NULL;NULL;"1";"1";NULL
"227";"Serameba";"11";"1";NULL;NULL;NULL;"1";"1";NULL
"228";"Monotest";"11";"1";NULL;NULL;NULL;"1";"1";NULL
"229";"H.Pylori IgG";"11";"1";NULL;NULL;NULL;"1";"1";NULL
"230";"H.Pylori IgA";"11";"1";NULL;NULL;NULL;"1";"1";NULL
"231";"H.Pylori IgM";"11";"1";NULL;NULL;NULL;"1";"1";NULL
"232";"Dengue";"11";"1";NULL;NULL;NULL;"1";"0";NULL
"233";"Dengue IgG";"11";"1";NULL;NULL;NULL;"1";"1";NULL
"234";"Dengue IgM";"11";"1";NULL;NULL;NULL;"1";"1";NULL
"235";"Aglutinaciones";"11";"1";NULL;NULL;NULL;"1";"1";NULL
"236";"Epstein Barr";"11";"1";NULL;NULL;NULL;"1";"0";NULL
"237";"Epstein Barr  IgG";"11";"1";NULL;NULL;NULL;"1";"1";NULL
"238";"Epstein Barr  IgM";"11";"1";NULL;NULL;NULL;"1";"1";NULL
"239";"Sodio";"12";"1";"mmol/L";"135";"145";"1";"1";NULL
"240";"Magnesio";"12";"1";"mg/dL";"1.7";"2.2";"1";"1";NULL
"241";"Potasio";"12";"1";"mmol/L";"3.5";"5.1";"1";"1";NULL
"242";"Calcio Iónico";"12";"1";"mg/dL";"4.6";"5.3";"1";"1";NULL
"243";"Cloro";"12";"1";"mmol/L";"98";"107";"1";"1";NULL
"244";"Cobre";"12";"1";"µg/dL";"70";"140";"1";"1";NULL
"245";"Calcio Total";"12";"1";"mg/dL";"8.5";"10.5";"1";"1";NULL
"246";"Litio";"12";"1";"mmol/L";"0.6";"1.2";"1";"1";NULL
"247";"Fósforo";"12";"1";"mg/dL";"2.5";"4.5";"1";"1";NULL
"248";"Amonio";"12";"1";"µmol/L";"15";"45";"1";"1";NULL
"249";"Espermatograma";"13";"1";NULL;NULL;NULL;"1";"1";NULL
"250";"Estudio Cálculo";"13";"1";NULL;NULL;NULL;"1";"1";NULL
"251";"Seguimiento";"13";"1";NULL;NULL;NULL;"1";"1";NULL
"252";"Ácido Valproico";"14";"1";"µg/mL";"50";"100";"1";"1";NULL
"253";"Digoxina";"14";"1";"ng/mL";"0.8";"2.0";"1";"1";NULL
"254";"Carbamacepina";"14";"1";"µg/mL";"4";"12";"1";"1";NULL
"255";"Fenobarbital";"14";"1";"µg/mL";"15";"40";"1";"1";NULL
"256";"Epamin";"14";"1";"µg/mL";"10";"20";"1";"1";NULL
"257";"Biometría Hemática";"15";"1";NULL;NULL;NULL;"1";"0";NULL
"258";"Emo";"15";"1";NULL;NULL;NULL;"1";"1";NULL
"259";"Coproparasitario";"15";"1";NULL;NULL;NULL;"1";"1";NULL
"260";"Glucosa";"15";"1";"mg/dL";"70";"100";"1";"1";NULL
"261";"Urea";"15";"1";"mg/dL";"15";"45";"1";"1";NULL
"262";"Creatinina";"15";"1";"mg/dL";"0.6";"1.2";"1";"1";NULL
"263";"Ácido Urico";"15";"1";"mg/dL";"3.5";"7.2";"1";"1";NULL
"264";"Colesterol";"15";"1";"mg/dL";"0";"200";"1";"1";NULL
"265";"Triglicéridos";"15";"1";"mg/dL";"35";"150";"1";"1";NULL
"266";"HDL";"15";"1";"mg/dL";"40";"100";"1";"1";NULL
"267";"LDL";"15";"1";"mg/dL";"0";"100";"1";"1";NULL
"268";"VDRL";"15";"1";NULL;NULL;NULL;"1";"1";NULL
"269";"Biometría Hemática";"16";"1";NULL;NULL;NULL;"1";"0";NULL
"270";"Glucosa";"16";"1";"mg/dL";"70";"100";"1";"1";NULL
"271";"Hb glicosilada";"16";"1";"%";"4.0";"5.6";"1";"1";NULL
"272";"Fructosamina";"16";"1";"µmol/L";"200";"285";"1";"1";NULL
"273";"Creatinina";"16";"1";"mg/dL";"0.6";"1.2";"1";"1";NULL
"274";"Ácido Urico";"16";"1";"mg/dL";"3.5";"7.2";"1";"1";NULL
"275";"Colesterol";"16";"1";"mg/dL";"0";"200";"1";"1";NULL
"276";"HDL";"16";"1";"mg/dL";"40";"100";"1";"1";NULL
"277";"LDL - Colesterol";"16";"1";"mg/dL";"0";"100";"1";"1";NULL
"278";"Triglicéridos";"16";"1";"mg/dL";"35";"150";"1";"1";NULL
"279";"Microalbuminuria";"16";"1";"mg/L";"0";"30";"1";"1";NULL
"280";"Emo";"16";"1";NULL;NULL;NULL;"1";"1";NULL
"281";"Biometría Hemática";"17";"1";NULL;NULL;NULL;"1";"0";NULL
"282";"Glucosa";"17";"1";"mg/dL";"70";"100";"1";"1";NULL
"283";"Colesterol";"17";"1";"mg/dL";"0";"200";"1";"1";NULL
"284";"Triglicéridos";"17";"1";"mg/dL";"35";"150";"1";"1";NULL
"285";"Proteínas";"17";"1";"g/dL";"6.0";"8.3";"1";"1";NULL
"286";"Albúmina Globulina";"17";"1";NULL;NULL;NULL;"1";"0";NULL
"287";"Bilirrubinas ( T - I - D)";"17";"1";NULL;NULL;NULL;"1";"0";NULL
"288";"TGO";"17";"1";"U/L";"5";"34";"1";"1";NULL
"289";"TGP";"17";"1";"U/L";"7";"56";"1";"1";NULL
"290";"Fosfatasa alcalina";"17";"1";"U/L";"40";"130";"1";"1";NULL
"291";"TP";"17";"1";"seg";"11";"14";"1";"1";NULL
"292";"Lípidos Totales ( Col - Tg - HDL - LDL )";"18";"1";NULL;NULL;NULL;"1";"0";NULL
"293";"Colesterol";"18";"1";"mg/dL";"0";"200";"1";"1";NULL
"294";"Triglicéridos";"18";"1";"mg/dL";"35";"150";"1";"1";NULL
"295";"HDL";"18";"1";"mg/dL";"40";"100";"1";"1";NULL
"296";"LDL - Colesterol";"18";"1";"mg/dL";"0";"100";"1";"1";NULL
"297";"Apolipoproteína B";"18";"1";"mg/dL";"55";"140";"1";"1";NULL
"298";"Apolipoproteína A";"18";"1";"mg/dL";"110";"205";"1";"1";NULL
"299";"Fibrinógeno";"18";"1";"mg/dL";"200";"400";"1";"1";NULL
"300";"Hemoglobina";"1";"1";"g/dL";"13.0";"17.0";"0";"1";"1"
"301";"Glóbulos Rojos (Eritrocitos)";"1";"1";"10^6/µL";"4.2";"5.9";"0";"1";"1"
"302";"Leucocitos (Recuento Total)";"1";"1";"10^3/µL";"4.5";"11.0";"0";"1";"1"
"303";"VCM";"1";"1";"fL";"80";"100";"0";"1";"1"
"304";"HCM";"1";"1";"pg";"27";"33";"0";"1";"1"
"305";"CHCM";"1";"1";"g/dL";"32";"36";"0";"1";"1"
"306";"RDW";"1";"1";"%";"11.5";"14.5";"0";"1";"1"
"307";"VPM";"1";"1";"fL";"7.5";"11.5";"0";"1";"1"
"308";"Neutrófilos";"1";"1";"%";"40";"70";"0";"1";"7"
"309";"Linfocitos";"1";"1";"%";"20";"45";"0";"1";"7"
"310";"Monocitos";"1";"1";"%";"2";"10";"0";"1";"7"
"311";"Eosinófilos";"1";"1";"%";"1";"6";"0";"1";"7"
"312";"Basófilos";"1";"1";"%";"0";"2";"0";"1";"7"
"313";"Bilirrubina Total";"3";"1";"mg/dL";"0.2";"1.2";"0";"1";"37"
"314";"Bilirrubina Directa";"3";"1";"mg/dL";"0";"0.3";"0";"1";"37"
"315";"Bilirrubina Indirecta";"3";"1";"mg/dL";"0.1";"0.9";"0";"1";"37"
"316";"Albúmina";"3";"1";"g/dL";"3.5";"5.2";"0";"1";"39"
"317";"Globulina";"3";"1";"g/dL";"2.3";"3.5";"0";"1";"39"
"318";"Relación Albúmina/Globulina";"3";"1";"Índice";"1.0";"2.2";"0";"1";"39"
